date,campaign,product,spend_czk,impressions,clicks,visual_hook,intent_framing
2026-04-26,Sleep Light,Sleeping Pad Inflate,1788,160920,4872,10s inflation timelapse,Convenience
2026-04-26,Summit Pro,Tent Summit 3,2456,181744,5641,Group laughing in tent at dawn,Social aspirational
2026-04-26,Daypack Daily,Backpack Daypack 25L,2598,280584,8348,Commuter to weekend cut,Versatility
2026-04-27,Compact Stove,Cookware Stove Compact,2904,319440,10487,Single-hand assembly clip,Convenience
2026-04-27,Backpack Hero,Backpack Trek 45L,2022,157716,4589,Mountain ridge sunset b-roll,Aspirational adventure
2026-04-27,Sleep Warm,Sleeping Bag Alpine -10,2759,234515,4173,Frost on tent fabric macro,Cold-weather pain solve
2026-04-27,Sleep Light,Sleeping Pad Inflate,781,57794,1610,10s inflation timelapse,Convenience
2026-04-27,Daypack Daily,Backpack Daypack 25L,1233,102339,2950,Commuter to weekend cut,Versatility
2026-04-28,Sleep Warm,Sleeping Bag Alpine -10,921,61707,1808,Frost on tent fabric macro,Cold-weather pain solve
2026-04-28,Cookware Hack,Cookware Set Titan,388,32204,913,Boil water in 90s timer,Practical demo
2026-04-28,Summit Pro,Tent Summit 3,935,101915,1310,Group laughing in tent at dawn,Social aspirational
2026-04-29,Compact Stove,Cookware Stove Compact,2962,316934,4545,Single-hand assembly clip,Convenience
2026-04-29,Cookware Hack,Cookware Set Titan,2773,266208,3626,Boil water in 90s timer,Practical demo
2026-04-29,Sleep Light,Sleeping Pad Inflate,1450,110200,4173,10s inflation timelapse,Convenience
2026-04-29,Backpack Hero,Backpack Trek 45L,2304,154368,3336,Mountain ridge sunset b-roll,Aspirational adventure
2026-04-29,Sleep Warm,Sleeping Bag Alpine -10,1695,140685,3111,Frost on tent fabric macro,Cold-weather pain solve
2026-04-29,Spring Tents Push,Tent Alpine 2,2327,223392,5580,Pitch in 60 seconds,FOMO summer launch
2026-04-30,Sleep Light,Sleeping Pad Inflate,1744,190096,4246,10s inflation timelapse,Convenience
2026-04-30,Daypack Daily,Backpack Daypack 25L,1982,200182,6818,Commuter to weekend cut,Versatility
2026-04-30,Backpack Hero,Backpack Trek 45L,1315,128870,2493,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-01,Spring Tents Push,Tent Alpine 2,2313,233613,6078,Pitch in 60 seconds,FOMO summer launch
2026-05-01,Sleep Light,Sleeping Pad Inflate,1455,113490,2967,10s inflation timelapse,Convenience
2026-05-01,Cookware Hack,Cookware Set Titan,2148,165396,3989,Boil water in 90s timer,Practical demo
2026-05-01,Compact Stove,Cookware Stove Compact,205,18860,240,Single-hand assembly clip,Convenience
2026-05-01,Backpack Hero,Backpack Trek 45L,1405,116615,3656,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-02,Daypack Daily,Backpack Daypack 25L,1225,83300,3089,Commuter to weekend cut,Versatility
2026-05-02,Sleep Light,Sleeping Pad Inflate,2227,140301,2552,10s inflation timelapse,Convenience
2026-05-02,Summit Pro,Tent Summit 3,1539,124659,4221,Group laughing in tent at dawn,Social aspirational
2026-05-03,Compact Stove,Cookware Stove Compact,1675,160800,2630,Single-hand assembly clip,Convenience
2026-05-03,Spring Tents Push,Tent Alpine 2,1382,93976,2239,Pitch in 60 seconds,FOMO summer launch
2026-05-03,Cookware Hack,Cookware Set Titan,2160,226800,3049,Boil water in 90s timer,Practical demo
2026-05-03,Summit Pro,Tent Summit 3,2807,249823,7262,Group laughing in tent at dawn,Social aspirational
2026-05-03,Sleep Warm,Sleeping Bag Alpine -10,2381,204766,6552,Frost on tent fabric macro,Cold-weather pain solve
2026-05-04,Compact Stove,Cookware Stove Compact,1082,83314,1801,Single-hand assembly clip,Convenience
2026-05-04,Sleep Warm,Sleeping Bag Alpine -10,808,71104,1479,Frost on tent fabric macro,Cold-weather pain solve
2026-05-04,Summit Pro,Tent Summit 3,2502,227682,7271,Group laughing in tent at dawn,Social aspirational
2026-05-04,Cookware Hack,Cookware Set Titan,426,44730,696,Boil water in 90s timer,Practical demo
2026-05-04,Backpack Hero,Backpack Trek 45L,1228,74908,1021,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-05,Summit Pro,Tent Summit 3,2958,292842,9458,Group laughing in tent at dawn,Social aspirational
2026-05-05,Sleep Warm,Sleeping Bag Alpine -10,1538,163028,4509,Frost on tent fabric macro,Cold-weather pain solve
2026-05-05,Spring Tents Push,Tent Alpine 2,996,73704,1916,Pitch in 60 seconds,FOMO summer launch
2026-05-05,Backpack Hero,Backpack Trek 45L,2675,168525,4951,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-06,Cookware Hack,Cookware Set Titan,685,59595,2170,Boil water in 90s timer,Practical demo
2026-05-06,Sleep Warm,Sleeping Bag Alpine -10,2611,237601,8473,Frost on tent fabric macro,Cold-weather pain solve
2026-05-06,Summit Pro,Tent Summit 3,2535,172380,3301,Group laughing in tent at dawn,Social aspirational
2026-05-06,Sleep Light,Sleeping Pad Inflate,357,27489,348,10s inflation timelapse,Convenience
2026-05-07,Compact Stove,Cookware Stove Compact,1335,93450,2001,Single-hand assembly clip,Convenience
2026-05-07,Sleep Light,Sleeping Pad Inflate,2600,262600,3535,10s inflation timelapse,Convenience
2026-05-07,Cookware Hack,Cookware Set Titan,838,55308,1161,Boil water in 90s timer,Practical demo
2026-05-08,Spring Tents Push,Tent Alpine 2,2827,305316,11088,Pitch in 60 seconds,FOMO summer launch
2026-05-08,Compact Stove,Cookware Stove Compact,2021,169764,5230,Single-hand assembly clip,Convenience
2026-05-08,Sleep Warm,Sleeping Bag Alpine -10,2470,180310,2826,Frost on tent fabric macro,Cold-weather pain solve
2026-05-08,Backpack Hero,Backpack Trek 45L,2172,160728,2932,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-09,Sleep Warm,Sleeping Bag Alpine -10,2910,288090,7180,Frost on tent fabric macro,Cold-weather pain solve
2026-05-09,Backpack Hero,Backpack Trek 45L,247,20748,528,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-09,Sleep Light,Sleeping Pad Inflate,2495,214570,3366,10s inflation timelapse,Convenience
2026-05-10,Sleep Warm,Sleeping Bag Alpine -10,2896,237472,5672,Frost on tent fabric macro,Cold-weather pain solve
2026-05-10,Sleep Light,Sleeping Pad Inflate,221,17017,630,10s inflation timelapse,Convenience
2026-05-10,Summit Pro,Tent Summit 3,2525,229775,5525,Group laughing in tent at dawn,Social aspirational
2026-05-10,Compact Stove,Cookware Stove Compact,1228,79820,2904,Single-hand assembly clip,Convenience
2026-05-11,Sleep Light,Sleeping Pad Inflate,1879,197295,5262,10s inflation timelapse,Convenience
2026-05-11,Daypack Daily,Backpack Daypack 25L,878,86922,1725,Commuter to weekend cut,Versatility
2026-05-11,Summit Pro,Tent Summit 3,920,75440,1750,Group laughing in tent at dawn,Social aspirational
2026-05-11,Backpack Hero,Backpack Trek 45L,1179,87246,1805,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-11,Sleep Warm,Sleeping Bag Alpine -10,1716,116688,1723,Frost on tent fabric macro,Cold-weather pain solve
2026-05-11,Spring Tents Push,Tent Alpine 2,1321,124174,3045,Pitch in 60 seconds,FOMO summer launch
2026-05-12,Spring Tents Push,Tent Alpine 2,1561,167027,2447,Pitch in 60 seconds,FOMO summer launch
2026-05-12,Summit Pro,Tent Summit 3,603,48843,837,Group laughing in tent at dawn,Social aspirational
2026-05-12,Daypack Daily,Backpack Daypack 25L,2069,180003,5091,Commuter to weekend cut,Versatility
2026-05-12,Sleep Light,Sleeping Pad Inflate,991,87208,1667,10s inflation timelapse,Convenience
2026-05-13,Summit Pro,Tent Summit 3,2104,208296,5771,Group laughing in tent at dawn,Social aspirational
2026-05-13,Cookware Hack,Cookware Set Titan,1656,125856,1933,Boil water in 90s timer,Practical demo
2026-05-13,Sleep Light,Sleeping Pad Inflate,2218,224018,5621,10s inflation timelapse,Convenience
2026-05-13,Daypack Daily,Backpack Daypack 25L,833,66640,2238,Commuter to weekend cut,Versatility
2026-05-13,Backpack Hero,Backpack Trek 45L,2955,268905,9176,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-13,Spring Tents Push,Tent Alpine 2,2411,147071,2609,Pitch in 60 seconds,FOMO summer launch
2026-05-14,Sleep Light,Sleeping Pad Inflate,2679,267900,6029,10s inflation timelapse,Convenience
2026-05-14,Cookware Hack,Cookware Set Titan,2486,161590,5375,Boil water in 90s timer,Practical demo
2026-05-14,Sleep Warm,Sleeping Bag Alpine -10,2274,243318,4581,Frost on tent fabric macro,Cold-weather pain solve
2026-05-14,Backpack Hero,Backpack Trek 45L,2752,272448,8041,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-15,Summit Pro,Tent Summit 3,865,76120,2320,Group laughing in tent at dawn,Social aspirational
2026-05-15,Daypack Daily,Backpack Daypack 25L,687,65265,2227,Commuter to weekend cut,Versatility
2026-05-15,Cookware Hack,Cookware Set Titan,2446,212802,4386,Boil water in 90s timer,Practical demo
2026-05-15,Sleep Light,Sleeping Pad Inflate,950,60800,2205,10s inflation timelapse,Convenience
2026-05-15,Backpack Hero,Backpack Trek 45L,1497,160179,3229,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-15,Spring Tents Push,Tent Alpine 2,977,68390,1296,Pitch in 60 seconds,FOMO summer launch
2026-05-16,Spring Tents Push,Tent Alpine 2,777,83916,2921,Pitch in 60 seconds,FOMO summer launch
2026-05-16,Sleep Warm,Sleeping Bag Alpine -10,1886,139564,5057,Frost on tent fabric macro,Cold-weather pain solve
2026-05-16,Summit Pro,Tent Summit 3,2973,240813,4940,Group laughing in tent at dawn,Social aspirational
2026-05-17,Compact Stove,Cookware Stove Compact,204,13872,268,Single-hand assembly clip,Convenience
2026-05-17,Summit Pro,Tent Summit 3,2985,205965,2804,Group laughing in tent at dawn,Social aspirational
2026-05-17,Backpack Hero,Backpack Trek 45L,813,52032,690,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-17,Spring Tents Push,Tent Alpine 2,2846,307368,5941,Pitch in 60 seconds,FOMO summer launch
2026-05-17,Sleep Warm,Sleeping Bag Alpine -10,1374,148392,4640,Frost on tent fabric macro,Cold-weather pain solve
2026-05-18,Backpack Hero,Backpack Trek 45L,1809,135675,3633,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-18,Spring Tents Push,Tent Alpine 2,2981,244442,3008,Pitch in 60 seconds,FOMO summer launch
2026-05-18,Daypack Daily,Backpack Daypack 25L,2031,125922,1918,Commuter to weekend cut,Versatility
2026-05-19,Sleep Warm,Sleeping Bag Alpine -10,2755,242440,5437,Frost on tent fabric macro,Cold-weather pain solve
2026-05-19,Cookware Hack,Cookware Set Titan,1510,108720,2667,Boil water in 90s timer,Practical demo
2026-05-19,Summit Pro,Tent Summit 3,2547,252153,4069,Group laughing in tent at dawn,Social aspirational
2026-05-19,Backpack Hero,Backpack Trek 45L,500,39000,1235,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-19,Sleep Light,Sleeping Pad Inflate,2885,314465,10772,10s inflation timelapse,Convenience
2026-05-19,Compact Stove,Cookware Stove Compact,2733,229572,8450,Single-hand assembly clip,Convenience
2026-05-20,Sleep Warm,Sleeping Bag Alpine -10,1222,117312,3270,Frost on tent fabric macro,Cold-weather pain solve
2026-05-20,Cookware Hack,Cookware Set Titan,2879,287900,9307,Boil water in 90s timer,Practical demo
2026-05-20,Compact Stove,Cookware Stove Compact,812,64960,1856,Single-hand assembly clip,Convenience
2026-05-20,Summit Pro,Tent Summit 3,2396,194076,3160,Group laughing in tent at dawn,Social aspirational
2026-05-20,Backpack Hero,Backpack Trek 45L,2488,268704,7441,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-21,Backpack Hero,Backpack Trek 45L,1673,113764,1684,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-21,Summit Pro,Tent Summit 3,2815,230830,3210,Group laughing in tent at dawn,Social aspirational
2026-05-21,Sleep Light,Sleeping Pad Inflate,1529,97856,2462,10s inflation timelapse,Convenience
2026-05-21,Spring Tents Push,Tent Alpine 2,1491,140154,2760,Pitch in 60 seconds,FOMO summer launch
2026-05-21,Compact Stove,Cookware Stove Compact,295,32450,488,Single-hand assembly clip,Convenience
2026-05-22,Daypack Daily,Backpack Daypack 25L,211,14348,343,Commuter to weekend cut,Versatility
2026-05-22,Backpack Hero,Backpack Trek 45L,758,45480,571,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-22,Sleep Warm,Sleeping Bag Alpine -10,2776,174888,6536,Frost on tent fabric macro,Cold-weather pain solve
2026-05-23,Sleep Light,Sleeping Pad Inflate,639,61344,1919,10s inflation timelapse,Convenience
2026-05-23,Backpack Hero,Backpack Trek 45L,1203,74586,1021,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-23,Cookware Hack,Cookware Set Titan,871,55744,888,Boil water in 90s timer,Practical demo
2026-05-23,Summit Pro,Tent Summit 3,566,55468,849,Group laughing in tent at dawn,Social aspirational
2026-05-23,Daypack Daily,Backpack Daypack 25L,2079,199584,2613,Commuter to weekend cut,Versatility
2026-05-24,Sleep Warm,Sleeping Bag Alpine -10,214,19046,631,Frost on tent fabric macro,Cold-weather pain solve
2026-05-24,Sleep Light,Sleeping Pad Inflate,268,16348,371,10s inflation timelapse,Convenience
2026-05-24,Daypack Daily,Backpack Daypack 25L,1747,113555,3791,Commuter to weekend cut,Versatility
2026-05-24,Cookware Hack,Cookware Set Titan,407,32560,556,Boil water in 90s timer,Practical demo
2026-05-24,Summit Pro,Tent Summit 3,2792,234528,6991,Group laughing in tent at dawn,Social aspirational
2026-05-25,Sleep Warm,Sleeping Bag Alpine -10,2138,153936,5562,Frost on tent fabric macro,Cold-weather pain solve
2026-05-25,Daypack Daily,Backpack Daypack 25L,2927,175620,5438,Commuter to weekend cut,Versatility
2026-05-25,Backpack Hero,Backpack Trek 45L,1273,132392,2823,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-25,Sleep Light,Sleeping Pad Inflate,373,24618,574,10s inflation timelapse,Convenience
2026-05-25,Spring Tents Push,Tent Alpine 2,1604,158796,5850,Pitch in 60 seconds,FOMO summer launch
2026-05-26,Summit Pro,Tent Summit 3,308,31724,547,Group laughing in tent at dawn,Social aspirational
2026-05-26,Sleep Light,Sleeping Pad Inflate,359,34823,1228,10s inflation timelapse,Convenience
2026-05-26,Compact Stove,Cookware Stove Compact,2878,253264,5582,Single-hand assembly clip,Convenience
2026-05-26,Backpack Hero,Backpack Trek 45L,1377,136323,3440,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-26,Cookware Hack,Cookware Set Titan,329,27307,943,Boil water in 90s timer,Practical demo
2026-05-27,Proto Stealth,Tent UNRELEASED PROTO,450,38000,720,Concept render,Pre-launch tease
